collection_week,count
2019-12-27,54
2020-01-03,9
2020-01-10,9
2020-01-17,9
2020-01-24,9
2020-01-31,12
2020-02-07,8
2020-02-14,14
2020-02-21,14
2020-02-28,66
2020-03-06,105
2020-03-13,204
2020-03-20,274
2020-03-27,2529
2020-04-03,3189
2020-04-10,3893
2020-04-17,4272
2020-04-24,4406
2020-05-01,4392
2020-05-08,4799
2020-05-15,4542
2020-05-22,4484
2020-05-29,4689
2020-06-05,4729
2020-06-12,4801
2020-06-19,4519
2020-06-26,4574
2020-07-03,4703
2020-07-10,4780
2020-07-17,4721
2020-07-24,4831
2020-07-31,4882
2020-08-07,4893
2020-08-14,4848
2020-08-21,4862
2020-08-28,4901
2020-09-04,4923
2020-09-11,4923
2020-09-18,4925
2020-09-25,4946
2020-10-02,4962
2020-10-09,4973
2020-10-16,4981
2020-10-23,4989
2020-10-30,4996
2020-11-06,5002
2020-11-13,5006
2020-11-20,5008
2020-11-27,5010
2020-12-04,5015
2020-12-11,5019
2020-12-18,5017
2020-12-25,5019
2021-01-01,5018
2021-01-08,5012
2021-01-15,5016
2021-01-22,5017
2021-01-29,5015
2021-02-05,5015
2021-02-12,5016
2021-02-19,5015
2021-02-26,5017
2021-03-05,5016
2021-03-12,5015
2021-03-19,5015
2021-03-26,5014
2021-04-02,5013
2021-04-09,5014
2021-04-16,5012
2021-04-23,5015
2021-04-30,5016
2021-05-07,5004
2021-05-14,5009
2021-05-21,5009
2021-05-28,5011
2021-06-04,5010
2021-06-11,5009
2021-06-18,5008
2021-06-25,5005
2021-07-02,5004
2021-07-09,5007
2021-07-16,5006
2021-07-23,5008
2021-07-30,5009
2021-08-06,5007
2021-08-13,5007
2021-08-20,5007
2021-08-27,5007
2021-09-03,5006
2021-09-10,5008
2021-09-17,5008
2021-09-24,5010
2021-10-01,5011
2021-10-08,5009
2021-10-15,5006
2021-10-22,5006
2021-10-29,5006
2021-11-05,5006
2021-11-12,5011
2021-11-19,5009
2021-11-26,5011
2021-12-03,5011
2021-12-10,5012
2021-12-17,5013
2021-12-24,5010
2021-12-31,5010
2022-01-07,5010
2022-01-14,5010
2022-01-21,5010
2022-01-28,5009
2022-02-04,5008
2022-02-11,5009
2022-02-18,5008
2022-02-25,5006
2022-03-04,5005
2022-03-11,5007
2022-03-18,5004
2022-03-25,5003
2022-04-01,5002
2022-04-08,4999
2022-04-15,5000
2022-04-22,4999
2022-04-29,4995
2022-05-06,4992
2022-05-13,4994
2022-05-20,4993
2022-05-27,4997
2022-06-03,5002
2022-06-10,5003
2022-06-17,5003
2022-06-24,4999
2022-07-01,4999
2022-07-08,5003
2022-07-15,5006
2022-07-22,5004
2022-07-29,5005
2022-08-05,5002
2022-08-12,4999
2022-08-19,5000
2022-08-26,4999
2022-09-02,4998
2022-09-09,5000
2022-09-16,4999
2022-09-23,4996
2022-09-30,4997
2022-10-07,4996
2022-10-14,4996
2022-10-21,4998
2022-10-28,5000
2022-11-04,5000
2022-11-11,4994
2022-11-18,4988
2022-11-25,4985
2022-12-02,4983
2022-12-09,5004
2022-12-16,4879
2022-12-23,4868
2022-12-30,4878
2023-01-06,4879
2023-01-13,4875
2023-01-20,4876
2023-01-27,4881
2023-02-03,4878
2023-02-10,4880
2023-02-17,4871
2023-02-24,4858
2023-03-03,4356
